"DAY","INTERVAL_15MIN","PLANNED_LANES_SECURITY","TRANSFERFILTER_EF"
"2017-06-17","0:0","1","0"
"2017-06-17","0:15","0","0"
"2017-06-17","0:30","1","0"
"2017-06-17","0:45","1","0"
"2017-06-17","10:0","3","0"
"2017-06-17","10:15","3","1"
"2017-06-17","10:30","3","154"
"2017-06-17","10:45","3","219"
"2017-06-17","11:0","3","74"
"2017-06-17","11:15","3","72"
"2017-06-17","11:30","3","0"
"2017-06-17","11:45","3","93"
"2017-06-17","12:0","3","131"
"2017-06-17","12:15","3","0"
"2017-06-17","12:30","3","205"
"2017-06-17","12:45","3","12"
"2017-06-17","13:0","3","0"
"2017-06-17","13:15","3","132"
"2017-06-17","13:30","3","126"
"2017-06-17","13:45","3","0"
"2017-06-17","14:0","3","0"
"2017-06-17","14:15","3","35"
"2017-06-17","14:30","5","147"
"2017-06-17","14:45","5","224"
"2017-06-17","15:0","7","15"
"2017-06-17","15:15","7","422"
"2017-06-17","15:30","7","609"
"2017-06-17","15:45","7","252"
"2017-06-17","16:0","5","118"
"2017-06-17","16:15","5","23"
"2017-06-17","16:30","2","0"
"2017-06-17","16:45","2","0"
"2017-06-17","17:0","2","0"
"2017-06-17","17:15","2","0"
"2017-06-17","17:30","2","0"
"2017-06-17","17:45","2","0"
"2017-06-17","18:0","4","136"
"2017-06-17","18:15","4","104"
"2017-06-17","18:30","5","93"
"2017-06-17","18:45","5","107"
"2017-06-17","19:0","5","266"
"2017-06-17","19:15","5","247"
"2017-06-17","19:30","4","112"
"2017-06-17","19:45","4","17"
"2017-06-17","1:0","1","0"
"2017-06-17","1:15","1","0"
"2017-06-17","1:30","1","0"
"2017-06-17","1:45","1","0"
"2017-06-17","20:0","2","0"
"2017-06-17","20:15","2","0"
"2017-06-17","20:30","1","0"
"2017-06-17","20:45","1","0"
"2017-06-17","21:0","1","2"
"2017-06-17","21:15","1","0"
"2017-06-17","21:30","1","0"
"2017-06-17","21:45","1","33"
"2017-06-17","22:0","1","0"
"2017-06-17","22:15","1","0"
"2017-06-17","22:30","1","0"
"2017-06-17","22:45","1","0"
"2017-06-17","23:0","1","5"
"2017-06-17","23:15","1","0"
"2017-06-17","23:30","1","0"
"2017-06-17","23:45","1","0"
"2017-06-17","2:0","1","0"
"2017-06-17","2:15","1","0"
"2017-06-17","2:30","1","0"
"2017-06-17","2:45","1","0"
"2017-06-17","3:0","1","0"
"2017-06-17","3:15","1","0"
"2017-06-17","3:30","1","0"
"2017-06-17","3:45","1","0"
"2017-06-17","4:0","2","0"
"2017-06-17","4:15","2","0"
"2017-06-17","4:30","3","108"
"2017-06-17","4:45","3","91"
"2017-06-17","5:0","4","127"
"2017-06-17","5:15","4","89"
"2017-06-17","5:30","6","55"
"2017-06-17","5:45","6","172"
"2017-06-17","6:0","8","229"
