"DAY","INTERVAL_15MIN","PLANNED_LANES_SECURITY","TRANSFERFILTER_GH"
"2017-06-17","0:0","0","0"
"2017-06-17","0:15","0","0"
"2017-06-17","0:30","0","0"
"2017-06-17","0:45","0","0"
"2017-06-17","10:0","2","0"
"2017-06-17","10:15","2","0"
"2017-06-17","10:30","1","0"
"2017-06-17","10:45","1","0"
"2017-06-17","11:0","1","0"
"2017-06-17","11:15","1","0"
"2017-06-17","11:30","1","6"
"2017-06-17","11:45","1","1"
"2017-06-17","12:0","1","35"
"2017-06-17","12:15","1","0"
"2017-06-17","12:30","1","0"
"2017-06-17","12:45","1","0"
"2017-06-17","13:0","1","0"
"2017-06-17","13:15","1","7"
"2017-06-17","13:30","1","2"
"2017-06-17","13:45","1","0"
"2017-06-17","14:0","1","0"
"2017-06-17","14:15","1","5"
"2017-06-17","14:30","1","0"
"2017-06-17","14:45","1","0"
"2017-06-17","15:0","1","0"
"2017-06-17","15:15","1","2"
"2017-06-17","15:30","1","1"
"2017-06-17","15:45","1","0"
"2017-06-17","16:0","1","0"
"2017-06-17","16:15","1","0"
"2017-06-17","16:30","1","0"
"2017-06-17","16:45","1","5"
"2017-06-17","17:0","1","0"
"2017-06-17","17:15","1","12"
"2017-06-17","17:30","1","13"
"2017-06-17","17:45","1","4"
"2017-06-17","18:0","1","1"
"2017-06-17","18:15","1","0"
"2017-06-17","18:30","1","0"
"2017-06-17","18:45","1","0"
"2017-06-17","19:0","1","0"
"2017-06-17","19:15","1","0"
"2017-06-17","19:30","1","1"
"2017-06-17","19:45","1","4"
"2017-06-17","1:0","0","0"
"2017-06-17","1:15","0","0"
"2017-06-17","1:30","0","0"
"2017-06-17","1:45","0","0"
"2017-06-17","20:0","1","2"
"2017-06-17","20:15","1","2"
"2017-06-17","20:30","1","0"
"2017-06-17","20:45","1","0"
"2017-06-17","21:0","1","0"
"2017-06-17","21:15","1","0"
"2017-06-17","21:30","1","0"
"2017-06-17","21:45","1","0"
"2017-06-17","22:0","1","0"
"2017-06-17","22:15","1","10"
"2017-06-17","22:30","1","12"
"2017-06-17","22:45","1","0"
"2017-06-17","23:0","1","0"
"2017-06-17","23:15","1","0"
"2017-06-17","23:30","0","0"
"2017-06-17","23:45","0","0"
"2017-06-17","2:0","0","0"
"2017-06-17","2:15","0","0"
"2017-06-17","2:30","0","0"
"2017-06-17","2:45","0","0"
"2017-06-17","3:0","0","0"
"2017-06-17","3:15","0","0"
"2017-06-17","3:30","0","0"
"2017-06-17","3:45","0","0"
"2017-06-17","4:0","0","0"
"2017-06-17","4:15","0","0"
"2017-06-17","4:30","1","0"
"2017-06-17","4:45","1","0"
"2017-06-17","5:0","1","0"
"2017-06-17","5:15","1","0"
"2017-06-17","5:30","2","0"
"2017-06-17","5:45","2","0"
"2017-06-17","6:0","2","0"
"2017-06-17","6:15","2","0"
"2017-06-17","6:30","2","0"
"2017-06-17","6:45","2","30"
"2017-06-17","7:0","3","7"
"2017-06-17","7:15","3","19"
"2017-06-17","7:30","3","6"
"2017-06-17","7:45","3","14"
"2017-06-17","8:0","4","102"
"2017-06-17","8:15","4","119"
"2017-06-17","8:30","4","36"
"2017-06-17","8:45","4","0"
"2017-06-17","9:0","4","0"
"2017-06-17","9:15","4","23"
"2017-06-17","9:30","3","0"
"2017-06-17","9:45","3","13"
"2017-06-18","0:0","0","0"
"2017-06-18","0:15","0","0"
"2017-06-18","0:30","0","0"
"2017-06-18","0:45","0","0"
"2017-06-18","10:0","2","0"
"2017-06-18","10:15","2","0"
"2017-06-18","10:30","1","0"
"2017-06-18","10:45","1","0"
"2017-06-18","11:0","1","0"
"2017-06-18","11:15","1","0"
"2017-06-18","11:30","1","4"
"2017-06-18","11:45","1","3"
"2017-06-18","12:0","1","36"
"2017-06-18","12:15","1","0"
"2017-06-18","12:30","1","0"
"2017-06-18","12:45","1","0"
"2017-06-18","13:0","1","0"
"2017-06-18","13:15","1","5"
"2017-06-18","13:30","1","62"
"2017-06-18","13:45","1","0"
"2017-06-18","14:0","1","0"
"2017-06-18","14:15","1","7"
"2017-06-18","14:30","1","0"
"2017-06-18","14:45","1","0"
"2017-06-18","15:0","1","0"
"2017-06-18","15:15","1","1"
"2017-06-18","15:30","1","0"
"2017-06-18","15:45","1","0"
"2017-06-18","16:0","1","0"
"2017-06-18","16:15","1","0"
"2017-06-18","16:30","1","0"
"2017-06-18","16:45","1","1"
"2017-06-18","17:0","1","0"
"2017-06-18","17:15","1","8"
"2017-06-18","17:30","1","16"
"2017-06-18","17:45","1","3"
"2017-06-18","18:0","1","0"
"2017-06-18","18:15","1","0"
"2017-06-18","18:30","1","0"
"2017-06-18","18:45","1","0"
"2017-06-18","19:0","1","0"
"2017-06-18","19:15","1","0"
"2017-06-18","19:30","1","0"
"2017-06-18","19:45","1","0"
"2017-06-18","1:0","0","0"
"2017-06-18","1:15","0","0"
"2017-06-18","1:30","0","0"
"2017-06-18","1:45","0","0"
"2017-06-18","20:0","1","2"
"2017-06-18","20:15","1","1"
"2017-06-18","20:30","1","0"
"2017-06-18","20:45","1","0"
"2017-06-18","21:0","1","0"
"2017-06-18","21:15","1","0"
"2017-06-18","21:30","1","0"
"2017-06-18","21:45","1","0"
"2017-06-18","22:0","1","0"
"2017-06-18","22:15","1","13"
"2017-06-18","22:30","1","15"
"2017-06-18","22:45","1","0"
"2017-06-18","23:0","1","0"
"2017-06-18","23:15","1","0"
"2017-06-18","23:30","0","0"
"2017-06-18","23:45","0","0"
"2017-06-18","2:0","0","0"
"2017-06-18","2:15","0","0"
"2017-06-18","2:30","0","0"
"2017-06-18","2:45","0","0"
"2017-06-18","3:0","0","0"
"2017-06-18","3:15","0","0"
"2017-06-18","3:30","0","0"
"2017-06-18","3:45","0","0"
"2017-06-18","4:0","0","0"
"2017-06-18","4:15","0","0"
"2017-06-18","4:30","1","0"
"2017-06-18","4:45","1","0"
"2017-06-18","5:0","1","0"
"2017-06-18","5:15","1","0"
"2017-06-18","5:30","1","0"
"2017-06-18","5:45","1","0"
"2017-06-18","6:0","3","0"
"2017-06-18","6:15","3","0"
"2017-06-18","6:30","3","0"
"2017-06-18","6:45","3","28"
"2017-06-18","7:0","3","5"
"2017-06-18","7:15","3","23"
"2017-06-18","7:30","4","9"
"2017-06-18","7:45","4","0"
"2017-06-18","8:0","4","61"
"2017-06-18","8:15","4","82"
"2017-06-18","8:30","4","70"
"2017-06-18","8:45","4","15"
"2017-06-18","9:0","4","0"
"2017-06-18","9:15","4","19"
"2017-06-18","9:30","3","0"
"2017-06-18","9:45","3","7"
"2017-06-19","0:0","0","0"
"2017-06-19","0:15","0","0"
"2017-06-19","0:30","0","0"
"2017-06-19","0:45","0","0"
"2017-06-19","10:0","2","0"
"2017-06-19","10:15","2","0"
"2017-06-19","10:30","1","0"
"2017-06-19","10:45","1","0"
"2017-06-19","11:0","1","0"
"2017-06-19","11:15","1","0"
"2017-06-19","11:30","1","0"
"2017-06-19","11:45","1","0"
"2017-06-19","12:0","1","48"
"2017-06-19","12:15","1","1"
"2017-06-19","12:30","1","0"
"2017-06-19","12:45","1","0"
"2017-06-19","13:0","1","0"
"2017-06-19","13:15","1","6"
"2017-06-19","13:30","1","1"
"2017-06-19","13:45","1","0"
"2017-06-19","14:0","1","0"
"2017-06-19","14:15","1","6"
"2017-06-19","14:30","1","0"
"2017-06-19","14:45","1","51"
"2017-06-19","15:0","1","0"
"2017-06-19","15:15","1","0"
"2017-06-19","15:30","1","0"
"2017-06-19","15:45","1","0"
"2017-06-19","16:0","1","0"
"2017-06-19","16:15","1","0"
"2017-06-19","16:30","1","0"
"2017-06-19","16:45","1","7"
"2017-06-19","17:0","1","2"
"2017-06-19","17:15","1","9"
"2017-06-19","17:30","1","7"
"2017-06-19","17:45","1","4"
"2017-06-19","18:0","1","0"
"2017-06-19","18:15","1","0"
"2017-06-19","18:30","1","0"
"2017-06-19","18:45","1","0"
"2017-06-19","19:0","1","0"
"2017-06-19","19:15","1","0"
"2017-06-19","19:30","1","0"
"2017-06-19","19:45","1","0"
"2017-06-19","1:0","0","0"
"2017-06-19","1:15","0","0"
"2017-06-19","1:30","0","0"
"2017-06-19","1:45","0","0"
"2017-06-19","20:0","1","2"
"2017-06-19","20:15","1","0"
"2017-06-19","20:30","1","0"
"2017-06-19","20:45","1","0"
"2017-06-19","21:0","1","0"
"2017-06-19","21:15","1","0"
"2017-06-19","21:30","1","0"
"2017-06-19","21:45","1","0"
"2017-06-19","22:0","1","0"
"2017-06-19","22:15","1","14"
"2017-06-19","22:30","1","13"
"2017-06-19","22:45","1","0"
"2017-06-19","23:0","1","0"
"2017-06-19","23:15","1","0"
"2017-06-19","23:30","0","0"
